نام غذا,واحد پیش‌فرض,کالری در واحد,کربوهیدرات,پروتئین,چربی,فیبر,وزن_گرم,واحد,کالری
لوبیا سبز,قاشق,31.0,7.0,1.8,0.1,3.0,80.0,,
کرفس,ساقه,16.0,3.0,0.7,0.2,1.6,40.0,,
تره,قاشق,61.0,14.2,1.5,0.3,1.8,30.0,,
جعفری,قاشق,36.0,6.3,3.0,0.8,3.3,30.0,,
شوید,قاشق,43.0,7.0,3.5,1.1,2.1,30.0,,
نعنا,قاشق,44.0,8.0,3.8,0.9,6.8,30.0,,
ریحان,قاشق,22.0,2.7,3.2,0.6,1.6,30.0,,
تربچه,عدد,16.0,3.4,0.7,0.1,1.6,15.0,,
پیاز,عدد,40.0,9.3,1.1,0.1,1.7,110.0,,
سیر,حبه,4.0,1.0,0.2,0.0,0.1,3.0,,
زنجبیل,قاشق,80.0,17.8,1.8,0.8,2.0,10.0,,
بادام,عدد,7.0,1.2,1.2,3.5,0.7,1.5,,
گردو,عدد,52.0,1.4,1.5,6.5,0.7,7.0,,
پسته,عدد,8.0,1.4,1.0,3.5,0.5,1.5,,
فندق,عدد,9.0,1.0,1.0,6.0,0.5,1.5,,
کشمش,مشت,130.0,32.0,1.0,0.1,2.0,40.0,,
توت خشک,مشت,120.0,30.0,1.0,0.1,3.0,35.0,,
انجیر خشک,عدد,50.0,13.0,0.5,0.2,2.0,15.0,,
تخمه کدو,مشت,150.0,8.0,8.0,12.0,2.0,35.0,,
تخمه آفتابگردان,مشت,160.0,6.0,6.0,14.0,3.0,35.0,,
تخمه هندوانه,مشت,140.0,7.0,7.0,11.0,2.0,35.0,,
ماست,لیوان,61.0,5.0,4.0,3.0,0.0,200.0,,
ماست یونانی,لیوان,120.0,6.0,10.0,8.0,0.0,200.0,,
پنیر سفید,قاشق,75.0,1.0,4.0,3.0,0.0,30.0,,
پنیر پارمسان,قاشق,20.0,0.2,2.0,1.5,0.0,10.0,,
کره,قاشق,100.0,0.0,0.1,11.0,0.0,5.0,,
خامه,قاشق,52.0,0.4,0.3,5.5,0.0,10.0,,
شیر کم چرب,لیوان,46.0,12.0,8.0,2.0,0.0,240.0,,
شیر پرچرب,لیوان,62.0,12.0,8.0,8.0,0.0,240.0,,
دوغ,لیوان,50.0,5.0,2.0,2.0,0.0,200.0,,
عسل,قاشق,64.0,17.3,0.1,0.0,0.0,7.0,,
مربا,قاشق,50.0,13.0,0.0,0.0,0.0,10.0,,
کره بادام زمینی,قاشق,90.0,3.0,4.0,8.0,1.0,15.0,,
شکلات تلخ,تکه,50.0,5.0,1.0,4.0,1.0,10.0,,
تخم مرغ,عدد,78.0,0.6,6.3,5.3,0.0,50.0,,
عدس,قاشق,116.0,20.1,9.0,0.4,7.9,180.0,,
لوبیا چیتی,قاشق,121.0,22.0,8.0,0.5,8.0,180.0,,
نخود,قاشق,139.0,23.0,8.0,2.0,7.0,180.0,,
نان سنگک,یک عدد,270.0,52.0,9.0,3.0,4.0,200.0,,
نان بربری,یک عدد,275.0,55.0,8.0,2.0,3.0,180.0,,
نان تافتون,یک عدد,250.0,50.0,7.0,2.0,3.0,150.0,,
نان لواش,یک عدد,340.0,68.0,8.0,2.0,3.0,100.0,,
نان باگت,10 سانتی,180.0,36.0,6.0,2.0,2.0,70.0,,
برنج سفید,کفگیر,130.0,28.0,2.7,0.3,0.4,150.0,,
برنج قهوه ای,کفگیر,111.0,23.0,2.6,0.9,1.8,150.0,,
جو دوسر,قاشق,354.0,59.0,12.0,6.0,8.0,100.0,,
ماکارونی پخته,کفگیر,158.0,31.0,5.8,0.9,1.8,100.0,,
سینه مرغ بدون پوست,عدد,120.0,0.0,27.0,1.5,0.0,100.0,,
ران مرغ بدون پوست,عدد,121.0,0.0,18.0,5.0,0.0,100.0,,
گوشت گوسفند بدون چربی,قاشق,152.0,0.0,20.0,8.0,0.0,100.0,,
گوشت گوساله بدون چربی,قاشق,135.0,0.0,22.0,5.0,0.0,100.0,,
ماهی سالمون,قطعه,179.0,0.0,20.0,10.0,0.0,100.0,,
میگو,عدد,91.0,0.0,18.0,1.5,0.0,100.0,,
توفو,قاشق,76.0,2.0,8.0,4.5,0.5,100.0,,
سوپ جو,لیوان,150.0,22.0,6.0,4.0,3.0,220.0,,
سوپ مرغ,لیوان,140.0,15.0,10.0,5.0,2.0,220.0,,
سالاد شیرازی,قاشق,35.0,7.0,1.0,0.5,2.0,100.0,,
سالاد سبز,قاشق,25.0,4.0,1.0,0.0,2.0,80.0,,
آب پرتقال,لیوان,110.0,26.0,1.5,0.5,0.5,240.0,,
آب سیب,لیوان,110.0,27.0,0.5,0.2,0.3,240.0,,
آب هویج,لیوان,95.0,22.0,2.0,0.5,2.0,240.0,,
شلغم,عدد,35.0,8.0,1.2,0.2,2.5,120.0,,
ترب سیاه,عدد,28.0,6.5,0.9,0.1,2.0,110.0,,
شلغم وحشی,عدد,32.0,7.2,1.0,0.2,2.2,115.0,,
ترب سفید,عدد,18.0,4.0,0.6,0.1,1.5,100.0,,
شاهی,مشت,16.0,2.8,2.2,0.4,1.5,35.0,,
تخم مرغ عسلی,عدد,60.0,0.5,5.5,4.0,0.0,45.0,,
بلدرچین,عدد,110.0,0.0,20.0,3.0,0.0,100.0,,
بوقلمون,قاشق,130.0,0.0,24.0,3.0,0.0,100.0,,
شترمرغ,قاشق,120.0,0.0,22.0,3.0,0.0,100.0,,
ماهی قزل آلا,قطعه,160.0,0.0,22.0,7.0,0.0,100.0,,
ماهی کپور,قطعه,140.0,0.0,20.0,6.0,0.0,100.0,,
ماهی تن,قاشق,130.0,0.0,28.0,1.5,0.0,100.0,,
ماهی ساردین,قطعه,170.0,0.0,25.0,7.0,0.0,100.0,,
ماهی خال مخالی,قطعه,190.0,0.0,24.0,10.0,0.0,100.0,,
قارچ دکمه ای,عدد,4.0,0.6,0.5,0.1,0.2,15.0,,
قارچ صدفی,مشت,28.0,4.0,3.0,0.4,1.5,70.0,,
قارچ شیتاکه,مشت,35.0,6.0,2.5,0.5,2.0,70.0,,
مارچوبه,ساقه,20.0,3.9,2.2,0.1,2.0,30.0,,
کنگر فرنگی,عدد,47.0,10.5,3.3,0.2,5.4,100.0,,
بامیه,عدد,9.0,2.0,0.5,0.1,0.8,20.0,,
نخود فرنگی,قاشق,81.0,14.5,5.4,0.4,5.1,80.0,,
لوبیا چشم بلبلی,قاشق,110.0,19.0,7.5,0.5,5.0,100.0,,
لوبیا قرمز,قاشق,127.0,23.0,8.5,0.5,8.0,100.0,,
لوبیا سیاه,قاشق,132.0,24.0,8.9,0.5,8.5,100.0,,
ماش,قاشق,106.0,19.0,7.0,0.4,7.5,100.0,,
سویا,قاشق,130.0,11.0,12.0,6.0,6.0,100.0,,
عدس قرمز,قاشق,110.0,19.0,9.0,0.4,8.0,100.0,,
عدس سبز,قاشق,115.0,20.0,9.0,0.4,8.0,100.0,,
لپه,قاشق,115.0,20.0,8.0,0.5,7.0,100.0,,
گندم,قاشق,340.0,72.0,13.0,2.5,12.0,100.0,,
جو,قاشق,354.0,73.0,12.0,2.0,17.0,100.0,,
چاودار,قاشق,338.0,75.0,14.0,2.0,15.0,100.0,,
ارزن,قاشق,378.0,73.0,11.0,4.0,8.5,100.0,,
کینوا,قاشق,120.0,21.0,4.4,1.9,2.8,100.0,,
آمارانت,قاشق,102.0,18.7,3.8,1.6,2.1,100.0,,
بلغور,قاشق,150.0,33.0,5.0,0.5,5.0,100.0,,
سمولینا,قاشق,360.0,74.0,12.0,1.0,3.0,100.0,,
کوسکوس,قاشق,112.0,23.0,3.8,0.2,1.5,100.0,,
برنج باسماتی,کفگیر,130.0,28.0,2.7,0.3,0.4,150.0,,
برنج دودی,کفگیر,130.0,28.0,2.5,0.3,0.5,150.0,,
برنج وحشی,کفگیر,101.0,21.0,4.0,0.3,1.5,150.0,,
نان چاودار,برش,83.0,15.0,3.0,1.0,2.0,50.0,,
نان جو,برش,75.0,14.0,3.5,1.5,2.5,50.0,,
نان گندم کامل,برش,80.0,14.0,4.0,1.0,2.5,50.0,,
نان ذرت,برش,90.0,16.0,3.0,2.0,1.5,50.0,,
نان سبوس دار,برش,85.0,15.0,4.0,1.5,3.0,50.0,,
نان فطیر,برش,100.0,18.0,3.0,2.0,1.0,50.0,,
نان خامه ای,برش,120.0,18.0,3.0,4.0,1.0,50.0,,
نان شیرمال,برش,130.0,22.0,4.0,3.0,1.0,60.0,,
نان قندی,برش,110.0,20.0,3.0,2.0,1.0,55.0,,
نان روغنی,برش,140.0,22.0,3.0,5.0,1.0,60.0,,
نان کرمانشاهی,برش,120.0,20.0,4.0,3.0,1.5,60.0,,
نان شیری,برش,115.0,19.0,4.0,3.0,1.0,55.0,,
نان ساندویچ,برش,85.0,15.0,3.0,1.5,1.5,50.0,,
پاستا سبزیجات,کفگیر,150.0,30.0,6.0,1.0,3.0,100.0,,
پاستا گندم کامل,کفگیر,160.0,32.0,7.0,1.5,4.0,100.0,,
لازانیا,کفگیر,200.0,35.0,8.0,4.0,3.0,100.0,,
اسپاگتی,کفگیر,158.0,31.0,5.8,0.9,1.8,100.0,,
فettuccine,کفگیر,160.0,32.0,6.0,1.0,2.0,100.0,,
پنه,کفگیر,158.0,31.0,5.8,0.9,1.8,100.0,,
اورزو,کفگیر,160.0,32.0,6.0,1.0,1.5,100.0,,
رامن,کفگیر,180.0,35.0,6.0,2.0,2.0,100.0,,
سوبا,کفگیر,150.0,32.0,5.0,0.5,2.0,100.0,,
اودون,کفگیر,160.0,34.0,5.0,1.0,2.0,100.0,,
آووکادو,عدد,160.0,8.5,2.0,14.7,6.7,100.0,,
زیتون سبز,عدد,5.0,0.3,0.0,0.5,0.2,4.0,,
زیتون سیاه,عدد,7.0,0.3,0.0,0.7,0.2,5.0,,
خیارشور,عدد,5.0,1.0,0.2,0.1,0.5,15.0,,
ترشی لیته,قاشق,10.0,2.0,0.3,0.1,0.5,20.0,,
کلم ترش,قاشق,5.0,1.0,0.3,0.0,0.8,15.0,,
کیمچی,قاشق,15.0,2.5,1.0,0.5,1.0,20.0,,
میسو,قاشق,35.0,5.0,2.0,1.0,1.5,18.0,,
تمپه,قاشق,190.0,9.0,20.0,11.0,5.0,100.0,,
سیتان,قاشق,120.0,8.0,25.0,2.0,1.0,100.0,,
ناتو,قاشق,200.0,13.0,18.0,10.0,5.0,100.0,,
ادامامه,قاشق,120.0,10.0,12.0,5.0,5.0,100.0,,
جلبک دریایی,ورقه,5.0,0.5,0.5,0.1,0.5,5.0,,
اسپیرولینا,قاشق,30.0,2.0,6.0,1.0,0.5,10.0,,
کلرلا,قاشق,30.0,2.0,6.0,1.0,0.5,10.0,,
کلم بروکسل,عدد,12.0,2.5,1.0,0.1,1.5,20.0,,
رازیانه,عدد,25.0,6.0,1.2,0.2,3.0,100.0,,
کلم قمری,عدد,25.0,5.5,1.2,0.2,2.5,100.0,,
کاهو پیچ,برگ,5.0,1.0,0.3,0.1,0.5,20.0,,
کاهو فرانسوی,برگ,5.0,1.0,0.3,0.1,0.5,20.0,,
اندیو,برگ,7.0,1.5,0.5,0.1,0.8,25.0,,
رادیکیو,برگ,7.0,1.5,0.5,0.1,0.8,25.0,,
آروگولا,مشت,5.0,0.8,0.5,0.1,0.5,20.0,,
واترکرست,مشت,5.0,0.8,0.5,0.1,0.5,20.0,,
میخک,قاشق,10.0,2.0,0.2,0.3,1.0,5.0,,
دارچین,قاشق,6.0,2.0,0.1,0.1,1.0,2.5,,
زردچوبه,قاشق,10.0,2.0,0.3,0.3,0.5,3.0,,
زنجبیل پودر,قاشق,8.0,1.8,0.2,0.1,0.5,2.5,,
فلفل سیاه,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
فلفل قرمز,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
زیره,قاشق,7.0,1.5,0.3,0.2,0.5,2.5,,
هل,قاشق,10.0,2.0,0.3,0.4,0.5,2.5,,
گشنیز خشک,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
زعفران,قاشق,5.0,1.0,0.2,0.1,0.5,1.0,,
وانیل,قاشق,12.0,2.5,0.1,0.1,0.0,5.0,,
کاکائو خالص,قاشق,15.0,3.0,1.0,1.0,2.0,5.0,,
پودر قهوه,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
چای سبز خشک,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
چای سیاه خشک,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
بابونه,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
نعناع خشک,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
پونه خشک,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
آویشن خشک,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
مرزه خشک,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
رزماری خشک,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
اکالیپتوس,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
بادرنجبویه,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
گل گاوزبان,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
خار مریم,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
کاسنی,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
شیرین بیان,قاشق,10.0,2.0,0.1,0.1,0.5,2.0,,
جینسینگ,قاشق,5.0,1.0,0.2,0.1,0.5,2.0,,
کنجد,قاشق,52.0,2.0,1.6,4.5,1.0,9.0,,
تخم کتان,قاشق,55.0,3.0,1.9,4.3,2.8,10.0,,
تخم شربتی,قاشق,45.0,4.0,1.5,2.5,3.5,10.0,,
تخم ریحان,قاشق,45.0,4.0,1.5,2.5,3.5,10.0,,
تخم خرفه,قاشق,50.0,3.5,1.8,3.0,2.5,10.0,,
تخم شاهدانه,قاشق,55.0,2.5,3.0,4.0,1.5,10.0,,
تخم خشخاش,قاشق,50.0,2.5,1.5,4.0,2.0,8.0,,
تخم کرفس,قاشق,40.0,3.0,1.0,2.5,2.0,8.0,,
تخم رازیانه,قاشق,45.0,3.5,1.2,2.0,3.0,8.0,,
تخم گشنیز,قاشق,40.0,3.0,1.0,2.0,2.5,8.0,,
تخم زیره,قاشق,40.0,3.0,1.0,2.0,2.5,8.0,,
تخم سیاه دانه,قاشق,45.0,3.5,1.5,2.5,2.0,8.0,,
کلم قرمز,مشت,31.0,7.4,1.4,0.2,2.1,100.0,,
کلم چینی,مشت,13.0,2.2,1.5,0.2,1.0,70.0,,
کلم بروکلی چینی,مشت,15.0,2.8,1.3,0.3,1.2,70.0,,
کتکوک,مشت,20.0,4.0,1.0,0.2,1.5,70.0,,
شاهی آبی,مشت,15.0,2.5,1.5,0.2,1.0,50.0,,
گل کلم,مشت,25.0,5.3,1.9,0.3,2.0,100.0,,
کلم فندقی,مشت,30.0,6.0,2.0,0.4,2.5,100.0,,
کلم پیچ قرمز,مشت,30.0,6.5,1.5,0.3,2.5,100.0,,
کلم ساووی,مشت,27.0,6.0,1.5,0.2,2.0,100.0,,
مارچوبه سبز,ساقه,20.0,3.9,2.2,0.1,2.0,30.0,,
مارچوبه سفید,ساقه,18.0,3.5,2.0,0.1,1.8,30.0,,
کنگر فرنگی اورشلیم,عدد,76.0,17.4,2.0,0.1,1.8,150.0,,
ریواس,ساقه,11.0,2.7,0.3,0.1,1.2,30.0,,
چغندر,عدد,43.0,9.6,1.6,0.2,2.8,100.0,,
شلغم قرمز,عدد,35.0,8.0,1.2,0.2,2.5,120.0,,
شلغم زرد,عدد,32.0,7.5,1.0,0.2,2.2,115.0,,
ترب زرد,عدد,28.0,6.5,0.9,0.1,2.0,110.0,,
ترب هندوانه ای,عدد,30.0,7.0,1.0,0.1,2.2,110.0,,
جیکاما,عدد,38.0,8.8,0.7,0.1,4.9,100.0,,
سیب زمینی بنفش,عدد,86.0,20.0,2.0,0.1,2.2,200.0,,
سیب زمینی قرمز,عدد,86.0,20.0,2.0,0.1,2.2,200.0,,
سیب زمینی طلایی,عدد,86.0,20.0,2.0,0.1,2.2,200.0,,
سیب زمینی تازه,عدد,70.0,16.0,2.0,0.1,2.0,150.0,,
یام,عدد,118.0,27.9,1.5,0.2,4.1,150.0,,
تارو,عدد,112.0,26.5,1.5,0.2,4.5,150.0,,
موز سبز,عدد,110.0,28.0,1.3,0.4,3.1,118.0,,
موز قرمز,عدد,105.0,27.0,1.3,0.4,3.1,118.0,,
موز کوتوله,عدد,90.0,23.0,1.1,0.3,2.5,100.0,,
پاپایا,عدد,120.0,30.0,1.0,0.3,3.0,300.0,,
گواوا,عدد,37.0,9.0,0.5,0.1,3.0,55.0,,
لیمو ترش,عدد,20.0,5.0,0.5,0.2,1.5,100.0,,
لیمو شیرین,عدد,20.0,5.0,0.5,0.2,1.5,100.0,,
ترنج,عدد,25.0,6.0,0.6,0.2,1.8,110.0,,
کامکوات,عدد,12.0,3.0,0.2,0.1,0.6,15.0,,
پوملو,عدد,60.0,15.0,1.0,0.2,2.0,200.0,,
توت سفید,مشت,45.0,11.0,1.0,0.2,2.0,70.0,,
توت سیاه,مشت,45.0,11.0,1.0,0.2,2.0,70.0,,
توت قرمز,مشت,45.0,11.0,1.0,0.2,2.0,70.0,,
زرشک,قاشق,30.0,7.0,0.5,0.1,2.0,20.0,,
بارهنگ,مشت,40.0,10.0,1.0,0.2,3.0,70.0,,
کنار,عدد,30.0,7.0,0.5,0.1,2.0,15.0,,
سنجد,عدد,25.0,6.0,0.5,0.1,1.5,10.0,,
ازگیل,عدد,30.0,7.0,0.5,0.1,2.0,15.0,,
به,عدد,50.0,13.0,0.4,0.1,2.5,150.0,,
ازگیل ژاپنی,عدد,35.0,8.5,0.5,0.2,2.2,120.0,,
لونگان,عدد,10.0,2.5,0.2,0.1,0.3,5.0,,
لیچی,عدد,10.0,2.5,0.2,0.1,0.3,5.0,,
رامبوتان,عدد,10.0,2.5,0.2,0.1,0.3,5.0,,
مانگوستین,عدد,15.0,4.0,0.2,0.1,0.5,10.0,,
دوریان,قاشق,147.0,27.1,1.5,5.3,3.8,100.0,,
جک فروت,قاشق,95.0,23.3,1.7,0.6,1.5,100.0,,
برد فروت,قاشق,103.0,27.0,1.1,0.2,1.8,100.0,,
سورسوپ,قاشق,66.0,16.8,1.0,0.3,3.3,100.0,,
شیرین سورسوپ,قاشق,70.0,18.0,1.0,0.3,3.5,100.0,,
کاستارد سیب,قاشق,101.0,24.0,2.0,0.5,2.0,100.0,,
خرمالو,عدد,118.0,31.0,1.0,0.4,6.0,150.0,,
لوبیا چیتی پخته,قاشق,120.0,22.0,8.0,0.5,8.0,180.0,,
لوبیا قرمز پخته,قاشق,125.0,23.0,8.5,0.5,8.0,180.0,,
لوبیا سیاه پخته,قاشق,130.0,24.0,8.9,0.5,8.5,180.0,,
لوبیا سفید پخته,قاشق,120.0,22.0,8.0,0.5,8.0,180.0,,
لوبیا چشم بلبلی پخته,قاشق,110.0,19.0,7.5,0.5,5.0,100.0,,
عدس قرمز پخته,قاشق,110.0,19.0,9.0,0.4,8.0,100.0,,
عدس سبز پخته,قاشق,115.0,20.0,9.0,0.4,8.0,100.0,,
ماش پخته,قاشق,106.0,19.0,7.0,0.4,7.5,100.0,,
نخود پخته,قاشق,139.0,23.0,8.0,2.0,7.0,180.0,,
لپه پخته,قاشق,115.0,20.0,8.0,0.5,7.0,100.0,,
سویا پخته,قاشق,130.0,11.0,12.0,6.0,6.0,100.0,,
تمپه پخته,قاشق,190.0,9.0,20.0,11.0,5.0,100.0,,
سیتان پخته,قاشق,120.0,8.0,25.0,2.0,1.0,100.0,,
ناتو پخته,قاشق,200.0,13.0,18.0,10.0,5.0,100.0,,
ادامامه پخته,قاشق,120.0,10.0,12.0,5.0,5.0,100.0,,
سویا جوانه زده,قاشق,80.0,8.0,8.0,3.0,3.0,100.0,,
ماش جوانه زده,قاشق,30.0,5.0,3.0,0.2,1.5,100.0,,
عدس جوانه زده,قاشق,40.0,7.0,4.0,0.3,2.0,100.0,,
نخود جوانه زده,قاشق,50.0,8.0,4.0,0.5,2.5,100.0,,
گندم جوانه زده,قاشق,40.0,8.0,3.0,0.5,2.0,100.0,,
جو جوانه زده,قاشق,35.0,7.0,2.5,0.4,2.0,100.0,,
کینوا جوانه زده,قاشق,45.0,8.0,3.0,0.8,2.0,100.0,,
بلغور پخته,قاشق,150.0,33.0,5.0,0.5,5.0,100.0,,
کوسکوس پخته,قاشق,112.0,23.0,3.8,0.2,1.5,100.0,,
جو دوسر پخته,قاشق,71.0,12.0,2.5,1.5,2.0,100.0,,
ارزن پخته,قاشق,120.0,23.0,3.5,1.0,1.5,100.0,,
چاودار پخته,قاشق,120.0,25.0,3.5,0.8,3.0,100.0,,
آمارانت پخته,قاشق,102.0,18.7,3.8,1.6,2.1,100.0,,
توفو,قاشق,76.0,2.0,8.0,4.5,0.5,100.0,,
توفو سفت,قاشق,80.0,2.0,8.0,5.0,0.5,100.0,,
توفو نرم,قاشق,70.0,1.5,7.0,4.0,0.5,100.0,,
توفو ابریشمی,قاشق,55.0,1.5,5.0,3.0,0.3,100.0,,
توفو دودی,قاشق,90.0,2.0,10.0,5.0,1.0,100.0,,
میسو خمیر,قاشق,35.0,5.0,2.0,1.0,1.5,18.0,,
تمپه,قاشق,190.0,9.0,20.0,11.0,5.0,100.0,,
ناتو,قاشق,200.0,13.0,18.0,10.0,5.0,100.0,,
ادامامه,قاشق,120.0,10.0,12.0,5.0,5.0,100.0,,
آرتیچو,عدد,47.0,10.5,3.3,0.2,5.4,100.0,,
قلقاس,عدد,112.0,26.5,1.5,0.2,4.5,150.0,,
قرمه سبزی,پرس,450.0,25.0,30.0,25.0,8.0,300.0,,
خورش فسنجان,پرس,650.0,20.0,28.0,50.0,5.0,280.0,,
خورش قیمه,پرس,400.0,35.0,25.0,20.0,6.0,300.0,,
خورش بادمجان,پرس,420.0,30.0,20.0,25.0,10.0,320.0,,
آبگوشت,پرس,480.0,25.0,35.0,25.0,7.0,350.0,,
خورش خلال بادام,پرس,470.0,28.0,26.0,22.0,6.0,310.0,,
خورش آلو اسفناج,پرس,380.0,22.0,24.0,18.0,7.0,300.0,,
خورش ریواس,پرس,350.0,20.0,22.0,16.0,6.0,290.0,,
خورش به آلو,پرس,420.0,30.0,23.0,18.0,7.0,310.0,,
خورش کرفس,پرس,430.0,26.0,28.0,20.0,9.0,320.0,,
خورش کنگر,پرس,410.0,24.0,27.0,19.0,8.0,310.0,,
خورش شوید باقالی,پرس,390.0,35.0,20.0,15.0,9.0,300.0,,
خورش هویج,پرس,370.0,32.0,18.0,14.0,6.0,290.0,,
خورش سیب زمینی,پرس,360.0,30.0,17.0,13.0,5.0,280.0,,
خورش نعنا جعفری,پرس,380.0,22.0,25.0,17.0,7.0,300.0,,
زرشک پلو با مرغ,پرس,550.0,65.0,35.0,15.0,3.0,380.0,,
زرشک پلو با زعفران,پرس,520.0,62.0,32.0,14.0,3.0,370.0,,
ته چین مرغ,پرس,520.0,60.0,30.0,18.0,2.0,350.0,,
ته چین گوشت,پرس,550.0,58.0,32.0,20.0,2.0,360.0,,
ته چین بادمجان,پرس,480.0,55.0,25.0,16.0,5.0,340.0,,
کباب کوبیده,سیخ,320.0,0.0,31.0,21.0,0.0,120.0,,
کباب برگ,سیخ,290.0,0.0,27.0,19.0,0.0,140.0,,
کباب بختیاری,سیخ,350.0,0.0,33.0,23.0,0.0,150.0,,
کباب لقمه,سیخ,340.0,0.0,32.0,22.0,0.0,140.0,,
کباب شاندیز,سیخ,370.0,0.0,35.0,25.0,0.0,160.0,,
کباب سلطانی,سیخ,610.0,0.0,58.0,42.0,0.0,260.0,,
جوجه کباب زعفرانی,سیخ,380.0,0.0,55.0,18.0,0.0,300.0,,
جوجه کباب با استخوان,سیخ,420.0,0.0,58.0,22.0,0.0,320.0,,
جوجه کباب ران,سیخ,400.0,0.0,56.0,20.0,0.0,310.0,,
جوجه کباب سینه,سیخ,360.0,0.0,54.0,16.0,0.0,290.0,,
چلو کباب کوبیده,پرس,540.0,120.0,35.0,23.0,2.0,420.0,,
چلو کباب برگ,پرس,510.0,118.0,31.0,21.0,2.0,440.0,,
چلو کباب سلطانی,پرس,830.0,120.0,62.0,44.0,2.0,560.0,,
چلو جوجه کباب,پرس,580.0,120.0,59.0,20.0,2.0,550.0,,
چلو مرغ زعفرانی,پرس,580.0,80.0,38.0,15.0,2.0,400.0,,
چلو مرغ خورشتی,پرس,620.0,82.0,40.0,18.0,2.0,420.0,,
چلو ماهی قزل آلا,پرس,550.0,80.0,35.0,14.0,2.0,380.0,,
چلو ماهی سفید,پرس,580.0,80.0,38.0,16.0,2.0,400.0,,
چلو میگو,پرس,520.0,78.0,32.0,12.0,2.0,390.0,,
دلمه برگ مو,عدد,63.0,5.8,2.0,3.7,1.3,50.0,,
دلمه فلفل دلمه,عدد,120.0,15.0,5.0,6.0,3.0,180.0,,
دلمه بادمجان,عدد,110.0,14.0,4.5,5.5,4.0,170.0,,
